[1780928110539] replay_mouse called, events count: 578
[1780928110541] Paint HWND found, rect: 216 128 1536 864
[1780928110544] WM_SETFOCUS sent
[1780928120922] event: mousemove Some(0.318359375) Some(0.1099537037037037) -> screen 705,223
[1780928120942] event: mousemove Some(0.3125) Some(0.10532407407407408) -> screen 696,219
[1780928120963] colour_select: hex=#FBF8F9
[1780928122045] event: mousemove Some(0.3092447916666667) Some(0.12962962962962962) -> screen 691,240
[1780928122065] event: mousemove Some(0.3151041666666667) Some(0.19560185185185183) -> screen 700,297
[1780928122086] event: mousemove Some(0.3209635416666667) Some(0.2511574074074074) -> screen 709,345
[1780928122107] event: mousemove Some(0.328125) Some(0.3136574074074074) -> screen 720,399
[1780928122128] event: mousemove Some(0.3307291666666667) Some(0.3368055555555556) -> screen 724,419
[1780928122148] event: mousemove Some(0.3313802083333333) Some(0.3263888888888889) -> screen 725,410
[1780928122169] event: mousemove Some(0.3326822916666667) Some(0.3055555555555556) -> screen 727,392
[1780928122190] event: mousemove Some(0.3307291666666667) Some(0.2673611111111111) -> screen 724,359
[1780928122210] event: mousemove Some(0.3177083333333333) Some(0.20833333333333337) -> screen 704,308
[1780928122231] event: mousemove Some(0.2981770833333333) Some(0.1550925925925926) -> screen 674,262
[1780928122251] event: mousemove Some(0.2740885416666667) Some(0.15046296296296297) -> screen 637,258
[1780928122273] event: mousemove Some(0.19856770833333337) Some(0.14467592592592593) -> screen 521,253
[1780928122294] event: mousemove Some(0.17122395833333334) Some(0.13657407407407407) -> screen 479,246
[1780928122316] event: mousemove Some(0.173828125) Some(0.11574074074074074) -> screen 483,228
[1780928122336] colour_select: hex=#EECE82
[1780928123419] event: mousemove Some(0.1796875) Some(0.1111111111111111) -> screen 492,224
[1780928123439] event: mousemove Some(0.20182291666666663) Some(0.12152777777777778) -> screen 526,233
[1780928123461] event: mousemove Some(0.2649739583333333) Some(0.17824074074074073) -> screen 623,282
[1780928123482] event: mousemove Some(0.365234375) Some(0.27199074074074076) -> screen 777,363
[1780928123504] event: mousemove Some(0.41796875) Some(0.3368055555555556) -> screen 858,419
[1780928123525] event: mousemove Some(0.4342447916666667) Some(0.4282407407407408) -> screen 883,498
[1780928123545] event: mousemove Some(0.4322916666666667) Some(0.4664351851851852) -> screen 880,531
[1780928123567] event: mousemove Some(0.4270833333333333) Some(0.5173611111111112) -> screen 872,575
[1780928123589] event: mousemove Some(0.4192708333333333) Some(0.5995370370370371) -> screen 860,646
[1780928123609] event: mousemove Some(0.408203125) Some(0.6990740740740741) -> screen 843,732
[1780928123631] event: mousemove Some(0.40234375) Some(0.7685185185185185) -> screen 834,792
[1780928123652] event: mousemove Some(0.3997395833333333) Some(0.7800925925925926) -> screen 830,802
[1780928123674] event: mousemove Some(0.3938802083333333) Some(0.7881944444444444) -> screen 821,809
[1780928123695] event: mousemove Some(0.3873697916666667) Some(0.7986111111111112) -> screen 811,818
[1780928123715] event: mousemove Some(0.3743489583333333) Some(0.8101851851851852) -> screen 791,828
[1780928123736] event: mousemove Some(0.3763020833333333) Some(0.8263888888888888) -> screen 794,842
[1780928123757] event: mousemove Some(0.38671875) Some(0.8530092592592593) -> screen 810,865
[1780928123777] event: mousemove Some(0.40234375) Some(0.8587962962962963) -> screen 834,870
[1780928123798] event: mousemove Some(0.4095052083333333) Some(0.8495370370370371) -> screen 845,862
[1780928123819] event: mousemove Some(0.4225260416666667) Some(0.8275462962962963) -> screen 865,843
[1780928123839] event: mousemove Some(0.4283854166666667) Some(0.8240740740740741) -> screen 874,840
[1780928123859] event: mousemove Some(0.435546875) Some(0.8240740740740741) -> screen 885,840
[1780928123880] event: mousemove Some(0.447265625) Some(0.8240740740740741) -> screen 903,840
[1780928123901] event: mousemove Some(0.4537760416666667) Some(0.8379629629629629) -> screen 913,852
[1780928123922] event: mousemove Some(0.4622395833333333) Some(0.8483796296296297) -> screen 926,861
[1780928123942] event: mousemove Some(0.458984375) Some(0.8587962962962963) -> screen 921,870
[1780928123963] event: mousedown Some(0.4563802083333333) Some(0.8622685185185185) -> screen 917,873
[1780928124015] event: mousemove Some(0.4563802083333333) Some(0.84375) -> screen 917,857
[1780928124036] event: mousemove Some(0.4557291666666667) Some(0.8287037037037037) -> screen 916,844
[1780928124056] event: mousemove Some(0.4557291666666667) Some(0.8171296296296297) -> screen 916,834
[1780928124077] event: mousemove Some(0.4557291666666667) Some(0.8032407407407407) -> screen 916,822
[1780928124097] event: mousemove Some(0.455078125) Some(0.7939814814814815) -> screen 915,814
[1780928124118] event: mousemove Some(0.455078125) Some(0.7696759259259259) -> screen 915,793
[1780928124139] event: mousemove Some(0.455078125) Some(0.7569444444444444) -> screen 915,782
[1780928124160] event: mousemove Some(0.455078125) Some(0.7465277777777778) -> screen 915,773
[1780928124180] event: mousemove Some(0.455078125) Some(0.7291666666666666) -> screen 915,758
[1780928124201] event: mousemove Some(0.455078125) Some(0.7083333333333334) -> screen 915,740
[1780928124222] event: mousemove Some(0.4622395833333333) Some(0.7071759259259259) -> screen 926,739
[1780928124242] event: mousemove Some(0.470703125) Some(0.7025462962962963) -> screen 939,735
[1780928124263] event: mousemove Some(0.484375) Some(0.6979166666666666) -> screen 960,731
[1780928124283] event: mousemove Some(0.4947916666666667) Some(0.6979166666666666) -> screen 976,731
[1780928124304] event: mousemove Some(0.501953125) Some(0.6967592592592593) -> screen 987,730
